shanghai 上海 SHA
dalian 大连 DLC
hangzhou 杭州 HGH
chongqing 重庆 CKG
beijing 北京 BJS
qingdao 青岛 TAO
harbin 哈尔滨 HRB
shenzhen 深圳 SZX
xiamen 厦门 XMN
urumqi 乌鲁木齐 URC
nanjing 南京 NKG
nanning 南宁 NNG
haikou 海口 HAK
guangzhou 广州 CAN
changsha 长沙 CSX
shenyang 沈阳 SHE
fuzhou 福州 FOC
tianjin 天津 TSN
nanchang 南昌 KHN
taiyuan 太原 TYN
guiyang 贵阳 KWE
zhengzhou 郑州 CGO
kunming 昆明 KMG
xi_an 西安 SIA
chengdu 成都 CTU
lijiang 丽江 LJG
changchun 长春 CGQ
jinan 济南 TNA
sanya 三亚 SYX
wuhan 武汉 WUH
