Shanghai 上海 SHA
Dalian 大连 DLC
Hangzhou 杭州 HGH
Chongqing 重庆 CKG
Beijing 北京 BJS
Qingdao 青岛 TAO
Haerbin 哈尔滨 HRB
Shenzhen 深圳 SZX
Xiamen 厦门 XMN
Wulumuqi 乌鲁木齐 URC
Nanjing 南京 NKG
Nanning 南宁 NNG
Haikou 海口 HAK
Guangzhou 广州 CAN
Changsha 长沙 CSX
Shenyang 沈阳 SHE
Fuzhou 福州 FOC
Tianjin 天津 TSN
Nanchang 南昌 KHN
Taiyuan 太原 TYN
Guiyang 贵阳 KWE
Zhengzhou 郑州 CGO
Kunming 昆明 KMG
Xian 西安 SIA
Chengdu 成都 CTU
Lijiang 丽江 LJG
Changchun 长春 CGQ
Jinan 济南 TNA
Sanya 三亚 SYX
Wuhan 武汉 WUH
